nohup: ignoring input
[2026-08-25 11:40:58] 🚀 Auto-switch daemon started. Monitoring XĂNG (3 Seeds: 42, 123, 777)...
[2026-08-25 11:40:58] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:10:08] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:11:08] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:12:08] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:13:08] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:14:08] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:15:08] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:16:08] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:17:08] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:18:08] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:19:09] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:20:09] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:21:09] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:22:09] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:23:09] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:24:09] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:25:09] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:26:09] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:27:09] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:28:09] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:29:10] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:30:10] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:31:10] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:32:10] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:33:10] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:34:10] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:35:10] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:36:10] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:37:10] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:38:11] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:39:11] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:40:11] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:41:11] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:42:11] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:43:11] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:44:11] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:45:11] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:46:11] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:47:11] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:48:12] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:49:12] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:50:12] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:51:12] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:52:12] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:53:12] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:54:12] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:55:12] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:56:12] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:57:13] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:58:13] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 13:59:13] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:00:13] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:01:13] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:02:13] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:03:13] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:04:13] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:05:13] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:06:13] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:07:14] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:08:14] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:09:14] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:10:14] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:11:14] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:12:14] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:13:14] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:14:14] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:15:14] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:16:14] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:17:15] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:18:15] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:19:15] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:20:15] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:21:15] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:22:15] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:23:15] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:24:15] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:25:15] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:26:16] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:27:16] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:28:16] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:29:16] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:30:16] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:31:16] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:32:16] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:33:16] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:34:16] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:35:17] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:36:17] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:37:17] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:38:17] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:39:17] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:40:17] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:41:17] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:42:17] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:43:17] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:44:17] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:45:18] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:46:18] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:47:18] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:48:18] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:49:18] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:50:18] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:51:18] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:52:18] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:53:18] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:54:19] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:55:19] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:56:19] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:57:19] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:58:19] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 14:59:19] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:00:19] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:01:19] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:02:19] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:03:19] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:04:19] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:05:20] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:06:20] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:07:20] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:08:20] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:09:20] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:10:20] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:11:20] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:12:20] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:13:20] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:14:21] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:15:21] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:16:21] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:17:21] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:18:21] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:19:21] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:20:21] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:21:21] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:22:21] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:23:22] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:24:22] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:25:22] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:26:22] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:27:22] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:28:22] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:29:22] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:30:22] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:31:22] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:32:22] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:33:23] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:34:23] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:35:23] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:36:23] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:37:23] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:38:23] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:39:23] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:40:23] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:41:23] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:42:24] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:43:24] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:44:24] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:45:24] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:46:24] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:47:24] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:48:24] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:49:24] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:50:24] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:51:25] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:52:25] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:53:25] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:54:25] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:55:25] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:56:25] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:57:25] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:58:25] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 15:59:25] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:00:26] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:01:26] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:02:26] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:03:26] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:04:26] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:05:26] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:06:26] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:07:26] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:08:26] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:09:26] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:10:27] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:11:27] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:12:27] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:13:27] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:14:27] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:15:27] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:16:27] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:17:27] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:18:27] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:19:28] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:20:28] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:21:28] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:22:28] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:23:28] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:24:28] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:25:28] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:26:28] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:27:28] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:28:28] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:29:29] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:30:29] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:31:29] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:32:29] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:33:29] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:34:29] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:35:29] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:36:29] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:37:29] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:38:30] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:39:30] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
[2026-08-25 16:40:30] Status: XĂNG 963/987 completed (97.57%) | 24 jobs remaining
